Categories,A,B,C,D,E,F,G
\text{a},17.68,48.71,84.09,100.0,84.09,48.71,17.68
\text{b},48.71,84.09,100.0,84.09,48.71,17.68,3.13
\text{c},84.09,100.0,84.09,48.71,17.68,3.13,0.12
\text{d},100.0,84.09,48.71,17.68,3.13,0.12,0.0
\text{e},84.09,48.71,17.68,3.13,0.12,0.0,0.12
\text{f},48.71,17.68,3.13,0.12,0.0,0.12,3.12
\text{g},17.68,3.13,0.12,0.0,0.12,3.12,17.68
\text{h},3.13,0.12,0.0,0.12,3.12,17.68,48.71
\text{i},0.12,0.0,0.12,3.12,17.68,48.71,84.09
\text{j},0.0,0.12,3.12,17.68,48.71,84.09,100.0
\text{k},0.12,3.12,17.68,48.71,84.09,100.0,84.09
\text{l},3.12,17.68,48.71,84.09,100.0,84.09,48.71
\text{m},17.68,48.71,84.09,100.0,84.09,48.71,17.68
\text{n},48.71,84.09,100.0,84.09,48.71,17.68,3.13
\text{o},84.09,100.0,84.09,48.71,17.68,3.13,0.12
